,Football_field_name,Lattitide,Longitude,Address,ZipCode,Region
0,Stadion Poljud,43.5196129,16.4318567,"8 Mediteranskih Igara 2, 21000, Split, Croatia",78000,versailles
1,Stadion Maksimir,45.8185994,16.0179555,"Maksimirska cesta 128, 10000, Zagreb, Croatia",78000,versailles
2,Bilino Polje Stadium,44.20575179999999,17.907109,"Bulevar Kulina bana bb, Zenica 72000",78000,versailles
3,Stade de Bon Rencontre,43.126821,5.9021877,"385 Av. Aristide Briand, 83200 Toulon, France",78000,versailles
4,Kantrida Association Football Stadium,45.338885,14.3804657,"Portić 3, 51000, Rijeka, Croatia",78000,versailles
5,Asim Ferhatović Hase Olympic Stadium,43.8737408,18.4085527,"VCF5+FCV, Sarajevo 71000",78000,versailles
6,The stadium Ljudski Vrt,46.5629569,15.6406021,"Mladinska ulica 29, 2000 Maribor, Slovenia",78000,versailles
7,Arbéres Stadium,46.2344185,6.0697693,"Av. Louis-Rendu 11, 1217 Meyrin, Switzerland",78000,versailles
8,Colmar Stadium,48.0877689,7.377273199999999,"36 Rue Ampère, 68000 Colmar, France",78000,versailles
9,The stadium Domzale,46.1368957,14.6018042,"Kopališka cesta 4, 1230 Domžale, Slovenia",78000,versailles
10,Stade Copet,46.4688893,6.84614,"Rue de Fribourg 36, 1800 Vevey, Switzerland",78000,versailles
11,Tušanj City Stadium,44.5416119,18.6613214,"Rudarska bb, Tuzla 75000",78000,versailles
12,Rákóczi Stadium,46.3565458,17.806019,"Kaposvár, Pécsi utca 4., Pécsi u. 4, 7400 Hungary",78000,versailles
13,Stade Universitaire Saint-Léonard,46.8163074,7.1543325,"Chem. de l'Abbé-Freeley 6, 1700 Fribourg, Switzerland",78000,versailles
14,Stade de l'impossible,46.1583615,7.2445135,"1914 Isérables, Switzerland",78000,versailles
15,Stade de la Tuilière,46.5433648,6.621239999999999,"Rte de Romanel 10, 1018 Lausanne, Switzerland",78000,versailles
16,Stade de la Neuville,50.4086201,4.4569578,"Rue Neuve 75a, 6061 Charleroi, Belgium",78000,versailles
17,Stade de Luxembourg,49.5769198,6.1166684,"100 Bd de Kockelscheuer, 1821 Luxembourg",78000,versailles
18,"Stadium "" 𝐅𝐀𝐃𝐈𝐋 𝐕𝐎𝐊𝐑𝐑𝐈 "" Pristina",42.6628676,21.1570649,"M574+4RW, Rr. Enver Zymberi, Prishtina",78000,versailles
19,Omnisports Stadium Source,47.8406445,1.9416618,"7 Rue de Beaumarchais, 45100 Orléans, France",78000,versailles
20,Stade Marcel Picot,48.6956691,6.2111531,"90 Bd Jean Jaurès, 54510 Tomblaine, France",78000,versailles
21,Stadium Our Lady Dolac,43.4488834,17.2144893,"Ul. Petra Vrdoljaka 32A, 21260, Imotski, Croatia",78000,versailles
22,Stade Disonais,50.6023822,5.8430743,"Rue de val Fassotte 127, 4820 Dison, Belgium",78000,versailles
23,Bonal Stadium,47.5123863,6.8105468,"2 Imp. de la Forge, 25200 Montbéliard, France",78000,versailles
24,Stadium Poussots,47.3029355,5.0621066,"204 Rue d'Auxonne, 21000 Dijon, France",78000,versailles
25,Groupama Stadium,45.76529499999999,4.982029,"10 Av. Simone Veil, 69150 Décines-Charpieu, France",78000,versailles
26,AFAS Stadion,51.0367965,4.4865727,"Kleine Nieuwedijkstraat 53, 2800 Mechelen, Belgium",78000,versailles
27,Rajko Mitic Stadium,44.783058,20.4647974,"Ljutice Bogdana 1a, Beograd 11040, Serbia",78000,versailles
28,Stade Tourbillon,46.2333508,7.3759112,"Rue des Echutes 38, 1950 Sion, Switzerland",78000,versailles
29,Pier Luigi Penzo Stadium,45.4277687,12.3639784,"Fondamenta Sant'Elena, 5, 30132 Venezia VE, Italy",78000,versailles
30,Matmut Stadium,45.723699,4.8321401,"353 Av. Jean Jaurès, 69007 Lyon, France",78000,versailles
31,"Stade Municipal, Rumelange",49.4567959,6.0331044,"Rue du parc, 3753 Rumelange, Luxembourg",78000,versailles
32,Stožice Stadium,46.0805313,14.5242517,"Vojkova cesta 100, 1000 Ljubljana, Slovenia",78000,versailles
33,FC Lens - Stade du Christ-Roi,46.2748102,7.4414709,"Chem. du Châtelard, 1978 Lens, Switzerland",78000,versailles
34,HNK Rijeka Stadium Rujevica,45.3478867,14.4022364,"Rujevica 10, 51000, Rijeka, Croatia",78000,versailles
35,Stadion pod Goricom,42.4439083,19.2643617,"C7V7+HP9, Podgorica, Montenegro",78000,versailles
36,Louis II Stadium,43.72758169999999,7.4156038,"7 Av. des Castelans, 98000 Monaco",78000,versailles
